# generated from bundled Rime Ice base/ext; minimum weight=100000
agenting	阿根廷	105480
aide	爱的	377035
aiguo	爱国	146835
aihao	爱好	253780
aihaozhe	爱好者	327435
aihu	爱护	125590
aiji	埃及	150005
ailixin	爱立信	102250
aini	爱你	242175
aiqing	爱情	500643
airen	爱人	169685
aishang	爱上	126345
aiwo	爱我	121385
aixin	爱心	336925
aizheng	癌症	157890
aizibing	艾滋病	290755
alibaba	阿里巴巴	117400
anding	安定	116400
anggui	昂贵	121330
anguiding	按规定	231665
anhui	安徽	500270
anhuisheng	安徽省	328510
anjian	按键	198530
anjian	案件	100412
anjing	安静	259500
anjisuan	氨基酸	102150
anli	案例	500301
anmo	按摩	305425
anniu	按钮	500353
anpai	安排	500805
anquan	安全	501438
anquande	安全的	498160
anquanguanli	安全管理	177265
anquanshengchan	安全生产	486125
anquanxing	安全性	373115
anshi	按时	186790
anshi	暗示	169535
anwei	安慰	197660
anxia	按下	178915
anxin	安心	124355
anzhao	按照	501718
anzhaoguiding	按照规定	179095
anzhi	安置	322865
anzhu	按住	125455
anzhuang	安装	500949
anzhuangle	安装了	116910
aodaliya	澳大利亚	365040
aodi	奥迪	326960
aomen	澳门	301285
aoyun	奥运	290870
aoyunhui	奥运会	224295
aozhou	澳洲	147120
ayi	阿姨	143215
baba	爸爸	487875
badao	霸道	256877
bage	八个	118975
bagua	八卦	128015
baidu	百度	362830
baifang	摆放	138665
baifang	拜访	102690
baifendian	百分点	283165
baihe	百合	130315
baihuo	百货	130115
baijiu	白酒	160845
bailing	白领	160480
bainian	百年	227785
baise	白色	500314
baitang	白糖	148447
baitian	白天	288680
baiwan	百万	177150
baixing	百姓	345175
baiyun	白云	163570
baizai	摆在	151280
bale	罢了	195035
bali	巴黎	217050
baliao	罢了	195035
banan	办案	108405
banben	版本	500542
banbu	颁布	242140
bancai	板材	116530
bandaoti	半导体	152925
bande	办的	108405
banfa	办法	501033
banfa	颁发	417410
bangdi	邦迪	459370
bangding	绑定	137390
bange	半个	126535
bangmang	帮忙	307185
bangni	帮你	230745
bangong	办公	498130
bangonglou	办公楼	107705
bangongshi	办公室	500725
bangongting	办公厅	123520
bangwo	帮我	235465
bangyang	榜样	112525
bangzhu	帮助	501110
banhao	办好	114150
bani	把你	275205
banian	八年	116185
banji	班级	309480
banjia	搬家	100680
bankuai	板块	295085
bankuai	版块	234205
banli	办理	501061
banlv	伴侣	161015
banmian	版面	255710
bannian	半年	422295
banqian	搬迁	190545
banquan	版权	13204281
banquangui	版权归	336260
banquansuoyou	版权所有	500484
banshi	办事	328255
banshichu	办事处	285155
bansui	伴随	113365
bansuizhe	伴随着	159400
bantian	半天	254400
banwan	搬完	250900
banwanjia	搬完家	120500
banwanle	搬完了	200900
banxiaoshi	半小时	103420
banxue	办学	306445
banyan	扮演	180760
banye	半夜	104815
banyou	伴有	100525
banzhang	班长	116995
banzhu	版主	501354
banzhu	斑竹	297535
banzhuren	班主任	255415
banzi	班子	199395
baoan	保安	214145
baobao	宝宝	500318
baochi	保持	500960
baochile	保持了	113200
baochizai	保持在	108665
baochizhe	保持着	130055
baocun	保存	500515
baodao	报道	500534
baodao	报到	188080
baofa	爆发	176920
baofei	报废	104975
baofu	报复	110120
baogao	报告	611089
baoguan	保管	227795
baoguan	报关	114485
baoguang	曝光	167850
baogui	宝贵	189615
baoguo	包裹	179650
baohan	包含	500383
baohanle	包含了	128745
baohu	保护	501254
baohuqu	保护区	103595
baojia	报价	500384
baojian	保健	358285
baojianpin	保健品	172310
baojing	报警	316180
baokan	报刊	238950
baokao	报考	462645
baokuo	包括	502382
baokuole	包括了	106035
baoli	暴力	235705
baoliu	保留	500457
baolu	暴露	139575
baoma	宝马	170065
baoman	饱满	105995
baomi	保密	500467
baoming	报名	500552
baomu	保姆	126600
baoquan	保全	200757
baoshe	报社	116810
baoshi	宝石	189290
baoshi	保湿	143590
baoshou	保守	177010
baosong	报送	296305
baowen	保温	142510
baoxian	保险	500420
baoxianfei	保险费	186070
baoxiangongsi	保险公司	696568
baoxiao	报销	111085
baoxiu	保修	218635
baoyang	保养	283280
baoyuan	抱怨	200110
baozha	爆炸	178595
baozhang	保障	500588
baozhe	抱着	273020
baozheng	保证	501232
baozhengjin	保证金	175590
baozhengzeren	保证责任	137965
baozhi	报纸	454855
baozhuang	包装	500554
baozi	包子	288537
bashou	把手	124110
bata	把他	319110
bawo	把我	376965
baxi	巴西	220400
bayue	八月	137350
bazhe	把这	164745
bazhege	把这个	105570
baziji	把自己	366130
beiai	悲哀	141385
beian	备案	500411
beibao	背包	123715
beibaoxianren	被保险人	194820
beichengwei	被称为	225360
beidong	被动	235510
beifang	北方	328535
beigao	被告	357650
beigaoren	被告人	141205
beihai	北海	146560
beihou	背后	443255
beijing	北京	1119506
beijing	背景	500302
beijingdaxue	北京大学	211845
beijingde	北京的	197440
beijingshi	北京市	500682
beijingshijian	北京时间	162360
beijingxia	背景下	140525
beilu	北路	247625
beimei	北美	136890
beimian	背面	119290
beipingwei	被评为	217870
beipo	被迫	163890
beiren	被人	333010
beirenwei	被认为	118530
beishang	悲伤	133105
beishang	背上	101500
beishu	倍数	102170
beiwo	被我	121055
beiyong	备用	120240
beiyuwei	被誉为	123960
beizhe	背着	102485
beizhu	备注	500275
benan	本案	172305
benbao	本报	300280
benbaojizhe	本报记者	163050
benbaoxun	本报讯	202010
benbu	本部	103460
benchanpin	本产品	140800
benchi	奔驰	159175
benci	本次	500385
bendanwei	本单位	228910
bendi	本地	500294
bendian	本店	125340
bendiqu	本地区	171520
benfa	本法	500259
bengkui	崩溃	115390
bengongsi	本公司	500508
benguiding	本规定	288665
benguo	本国	119465
benhang	本行	109735
benhetong	本合同	196060
benjie	本届	205360
benke	本科	500410
benkesheng	本科生	129245
benlaijiu	本来就	120770
benlei	本类	182425
benling	本领	129505
benluntan	本论坛	500274
benneng	本能	123955
benpian	本片	104255
benpin	本品	217935
benqi	本期	211950
benqiye	本企业	100425
benren	本人	500653
benri	本日	161495
benruanjian	本软件	131150
benshen	本身	500558
benshu	本书	500293
benteng	奔腾	132955
bentian	本田	117940
bentiao	本条	124200
bentiaoli	本条例	394770
bentie	本帖	500633
bentu	本土	236065
benwangzhan	本网站	500304
benwen	本文	500622
benxiao	本校	111630
benxing	本性	104955
benxitong	本系统	117175
benyue	本月	365980
benzhan	本站	502239
benzhang	本章	161385
benzhansuoyou	本站所有	162450
benzhanyuanchuang	本站原创	220110
benzhi	本质	337685
benzhou	本周	348840
benzhuanye	本专业	154260
bianbu	遍布	109005
biancheng	变成	500403
biancheng	编程	326945
bianchengle	变成了	367945
biande	变得	500413
biande	变的	159740
biandong	变动	343195
biange	变革	283105
biangeng	变更	500350
biangengdengji	变更登记	106910
bianhao	编号	500911
bianhu	辩护	264762
bianhua	变化	501050
bianhuan	变换	162335
bianhui	便会	169690
bianji	编辑	501054
bianjiao	变焦	183040
bianjibu	编辑部	111545
bianjie	便捷	204215
bianjie	边界	155220
bianjing	边境	100210
bianjiqi	编辑器	144305
bianke	便可	227155
bianli	便利	283660
bianliang	变量	246550
bianma	编码	326805
bianqian	变迁	103955
bianshang	边上	108745
bianshi	便是	424845
biantai	变态	117005
bianwei	变为	205045
bianxie	编写	432150
bianxing	变形	226950
bianyaqi	变压器	136825
bianyi	编译	151535
bianyiqi	编译器	134456
bianyu	便于	321065
bianyuan	边缘	286600
bianzhi	编制	500354
biaoda	表达	500302
biaodade	表达的	103935
biaodale	表达了	106035
biaodan	表单	299600
biaoge	表格	383070
biaoji	标记	295535
biaojue	表决	107075
biaomian	表面	500354
biaoming	表明	500405
biaoming	标明	156930
biaoqian	标签	500462
biaoqing	表情	500315
biaoshi	表示	501400
biaoshu	表述	186745
biaoti	标题	501300
biaoxian	表现	500759
biaoxianchu	表现出	275230
biaoxiande	表现的	125335
biaoxianwei	表现为	191490
biaoxianzai	表现在	162240
biaoyan	表演	500314
biaoyang	表扬	135675
biaozhang	表彰	238130
biaozhi	标志	500411
biaozhizhe	标志着	170605
biaozhu	标注	577717
biaozhun	标准	502189
biaozhunhe	标准和	223560
biaozhunhua	标准化	352945
bibei	必备	187445
bibukeshao	必不可少	115735
bici	彼此	340690
biding	必定	121610
biede	别的	500268
bieren	别人	500906
bieshu	别墅	317110
biji	笔记	164510
bijiang	必将	217955
bijiao	比较	501534
bijiaohao	比较好	107735
bijiben	笔记本	454380
bijibendiannao	笔记本电脑	219795
bijing	毕竟	500286
bijingshi	毕竟是	103055
bikai	避开	143375
bili	比例	500647
bilv	比率	129715
bimian	避免	500470
bimianle	避免了	105720
bingan	并按	146495
bingba	并把	123630
bingbao	并报	100650
bingbian	病变	145490
bingbu	并不	500777
bingbudaibiao	并不代表	138725
bingbuneng	并不能	148775
bingbushi	并不是	500370
bingcheng	秉承	135310
bingchu	并处	285845
bingdu	病毒	500433
bingdui	并对	355855
bingfa	并发	116240
bingfei	并非	500265
binggenju	并根据	115600
binggou	并购	214805
bingjiang	并将	447445
bingjin	并进	182105
bingjing	并经	124200
bingjishi	并及时	104085
bingke	并可	228200
bingleng	冰冷	120830
bingli	病例	144635
bingmei	并没	127260
bingmeiyou	并没有	500423
bingneng	并能	181505
bingqie	并且	500997
bingqiezai	并且在	119745
bingqing	病情	226530
bingqude	并取得	114375
bingren	病人	500366
bingrende	病人的	109555
bingshi	并使	135460
bingti	并提	113995
bingtongguo	并通过	198555
binguan	宾馆	500301
bingwei	并未	263970
bingwei	并为	164005
bingwu	并无	177890
bingxiang	冰箱	214190
bingxiang	并向	201975
bingxue	冰雪	126130
bingyi	并以	204955
bingyin	病因	100200
bingyong	并用	130455
bingyou	并有	248045
bingyou	并由	166810
bingyu	并与	211610
bingyu	并于	163355
bingzai	并在	500396
bingzhong	并重	101515
bingzuo	并作	100220
biqi	比起	154325
biqunian	比去年	105380
biran	必然	474755
biru	比如	500817
birushuo	比如说	197440
bisai	比赛	500668
bishangnian	比上年	248970
bishi	笔试	195995
biwo	比我	192835
bixia	陛下	104020
bixu	必须	502404
bixu	必需	117555
bixuyou	必须有	150465
biyadi	比亚迪	147538
biyao	必要	368375
biyaode	必要的	500278
biyaoshi	必要时	170660
biyaoxing	必要性	100140
biye	毕业	500344
biyehou	毕业后	200000
biyesheng	毕业生	500362
biyeyu	毕业于	177955
biyu	比喻	115900
bizhe	笔者	500324
bizhi	壁纸	138495
bizhong	比重	373425
bizi	鼻子	178415
bochu	播出	187760
boda	拨打	253600
bodong	波动	241775
bofang	播放	500405
bofangqi	播放器	329490
boke	博客	500448
bolanhui	博览会	216305
boli	玻璃	500305
boruo	薄弱	115545
boshi	博士	500316
boshihou	博士后	106840
boshixuewei	博士学位	113305
bowuguan	博物馆	344050
bozhong	播种	104120
bozi	脖子	146535
buai	不爱	106595
buan	不安	163325
bubaokuo	不包括	145380
bubei	不被	146295
bubi	不必	500254
bubian	不变	296690
bubian	不便	160360
buceng	不曾	120875
buchang	补偿	332185
buchaoguo	不超过	356765
bucheng	不成	196715
buchengdan	不承担	327745
buchi	不吃	106770
buchong	补充	500385
buchu	不出	241730
bucunzai	不存在	201695
bucuo	不错	500601
buda	不大	422810
budaibiao	不代表	232735
budan	不但	500317
budang	不当	190910
budao	不到	500390
bude	不得	501255
budebu	不得不	407470
budechaoguo	不得超过	204260
budeng	不等	188890
budeyi	不得以	110210
buding	补丁	175140
budiyu	不低于	162270
budong	不懂	280700
budong	不动	135105
budongchan	不动产	106590
buduan	不断	501067
buduande	不断地	300985
buduanfazhan	不断发展	129800
buduankuoda	不断扩大	105585
buduantigao	不断提高	381580
buduanwanshan	不断完善	116510
budui	不对	500278
budui	部队	285455
buduo	不多	316460
bufa	不发	235820
bufa	步伐	129265
bufa	不乏	103325
bufang	不妨	273075
bufen	部分	501714
bufen	不分	124870
bufende	部分的	229710
bufenneirong	部分内容	128345
bufu	不服	206215
bufu	不符	134970
bufuhe	不符合	373885
bugai	不该	152230
bugan	不敢	500319
bugao	不高	250775
bugei	不给	109545
bugou	不够	500358
bugu	不顾	151635
buguan	不管	500290
buguanshi	不管是	178355
buguo	不过	501600
buhan	不含	366875
buhao	不好	500381
buhaoyisi	不好意思	167940
buhege	不合格	279850
buheli	不合理	188990
buhui	不会	500926
buhuiyou	不会有	148820
buji	不及	158750
bujian	不见	256900
bujian	部件	243645
bujie	不解	113630
bujin	不仅	500829
bujin	不禁	308460
bujinjin	不仅仅	114045
bujinjinshi	不仅仅是	141290
bujinshi	不仅是	229670
bujiu	不久	389045
buju	布局	393215
bujubei	不具备	126620
bujue	不觉	115625
bukan	不看	101160
buke	不可	500464
buken	不肯	230810
bukeneng	不可能	484620
bukesiyi	不可思议	131425
bukeyi	不可以	175950
bulai	不来	102330
buli	不利	233940
buliang	不良	316815
buliyu	不利于	132795
bulun	不论	329715
bulunshi	不论是	119120
buluo	部落	260980
buman	不满	296580
bumanyi	不满意	132610
bumen	部门	1709250
buming	不明	152880
bumingbai	不明白	119785
buneng	不能	501818
bunengxiazai	不能下载	211140
bupa	不怕	203590
buqi	不起	181880
buqiang	不强	116755
buqing	不清	112775
buqingchu	不清楚	111155
buqu	不去	246890
buran	不然	275995
burang	不让	201780
burongyi	不容易	206160
buru	不如	479325
buru	步入	159640
bushang	不上	170805
bushao	不少	500719
bushaoren	不少人	110775
bushaoyu	不少于	192830
bushi	不是	501670
bushi	不适	179935
bushi	不时	132260
bushihe	不适合	104310
bushihen	不是很	160495
bushou	不受	269750
bushu	部署	467705
bushuo	不说	224225
bushuyu	不属于	129990
busuan	不算	172950
butai	不太	261750
butie	补贴	374395
butigong	不提供	107015
buting	不停	161640
butingde	不停地	175235
butong	不同	501387
butongchengdu	不同程度	116940
butongde	不同的	500922
butongyi	不同意	110200
butongyu	不同于	131895
buwei	部位	468960
buwei	不为	135060
buweiban	部委办	500000
buwending	不稳定	149660
buxian	不限	500491
buxiang	不想	488400
buxiang	不详	304285
buxiang	不像	205150
buxianggan	不想干	244400
buxiangganle	不想干了	144400
buxiaoxin	不小心	107125
buxihuan	不喜欢	218155
buxin	不信	150415
buxing	不行	314220
buxing	不幸	171790
buxing	步行	125030
buxiugang	不锈钢	291240
buxu	不许	146245
buxuyao	不需要	389270
buyao	不要	501028
buyi	不宜	378940
buyi	不易	304650
buyi	不已	175640
buyi	不一	120990
buyiding	不一定	211505
buying	不应	268620
buyinggai	不应该	132225
buyingxiang	不影响	124805
buyiyang	不一样	340695
buyong	不用	500382
buyou	不由	175390
buyu	不与	612600
buyuan	不愿	323635
buyuan	不远	109105
buyuanyi	不愿意	191715
buyunxu	不允许	195430
buzai	不再	500465
buzai	不在	452010
buzaishi	不再是	153470
buzhang	部长	324420
buzhengchang	不正常	103085
buzhengque	不正确	109370
buzhi	不知	500478
buzhi	布置	317750
buzhi	不止	157960
buzhibujue	不知不觉	127455
buzhichi	不支持	184060
buzhidao	不知道	500580
buzhou	步骤	500284
buzhu	补助	216385
buzhu	不住	124030
buzhun	不准	274410
buzhuo	捕捉	157010
buzu	不足	500505
buzuo	不做	192570
caice	猜测	132965
caichan	财产	500334
caidan	菜单	459305
caidian	彩电	133765
caiding	裁定	199397
caifang	采访	433885
caifaxian	才发现	140455
caifu	财富	500401
caihong	彩虹	141620
caihua	才华	102880
caihui	才会	446465
caiji	采集	273940
caijing	财经	181639
caijue	裁决	201110
caike	才可	129975
caikeyi	才可以	251195
caili	财力	125580
cailiao	材料	501359
caineng	才能	501196
cainiao	菜鸟	120965
caipan	裁判	140325
caipiao	彩票	189635
caiqu	采取	500842
caiqucuoshi	采取措施	141805
caiqude	采取的	140020
caiqule	采取了	161330
caise	彩色	383800
caishi	才是	500297
caiwu	财务	500266
caiwu	财物	179815
caiwuguanli	财务管理	204565
caiwukuaiji	财务会计	108600
caixin	彩信	101410
caiyao	菜肴	103815
caiyong	采用	501740
caiyongle	采用了	398075
caiyou	才有	385045
caizheng	财政	500298
caizhengbu	财政部	269380
caizhengbumen	财政部门	164570
caizhi	材质	403570
caizhidao	才知道	170110
cangchu	仓储	167930
cangku	仓库	500297
canguan	参观	469785
canguan	餐馆	128330
canhui	参会	130990
canji	残疾	209260
canjia	参加	501382
canjiale	参加了	434745
canjian	参见	161580
canjiren	残疾人	310765
cankao	参考	500391
cankaojiage	参考价格	101720
canlan	灿烂	107860
canlande	灿烂的	104560
canliu	残留	114685
cansai	参赛	264895
canshu	参数	500416
canting	餐厅	389055
canyin	餐饮	348415
canyu	参与	501001
canyuzhe	参与者	100785
canzhan	参展	303375
canzhande	参展的	100100
canzhanshang	参展商	108070
canzhao	参照	311705
caoan	草案	203745
caocao	曹操	166430
caoyuan	草原	267770
caozong	操纵	118760
caozuo	操作	501235
caozuoxitong	操作系统	500384
ceding	测定	265445
cehua	策划	500312
cehui	测绘	182545
celiang	测量	500259
celve	策略	500386
cemian	侧面	141010
cengceng	层层	129825
cengci	层次	500311
cengjing	曾经	500476
cengmian	层面	368045
cengzai	曾在	206975
ceping	测评	171775
ceshi	测试	500807
cesuo	厕所	173630
chabie	差别	319835
chabuduo	差不多	306215
chacao	插槽	122500
chachu	查处	595249
chadian	差点	163260
chae	差额	123760
chaichu	拆除	162075
chaiqian	拆迁	608452
chaiyou	柴油	136535
chajian	插件	471115
chaju	差距	474780
chakan	查看	501084
chakanfujian	查看附件	189330
chandi	产地	437890
changan	长安	212425
changchang	常常	500295
changcheng	长城	282440
changchun	长春	246675
changda	长达	185525
changdao	倡导	276180
changde	长的	406500
changdi	场地	339470
changdu	长度	446800
changduan	长短	104450
changfa	长发	104505
changfang	厂房	469105
changge	唱歌	179395
changgui	常规	344145
changhe	场合	266545
changjia	厂家	500310
changjian	常见	464715
changjiande	常见的	464715
changjiang	长江	313730
changjing	场景	322260
changjiu	长久	173390
changmian	场面	226435
changnian	常年	186745
changpian	唱片	221905
changpiangongsi	唱片公司	111890
changqi	长期	500758
changqiyilai	长期以来	158235
changsha	长沙	438895
changshang	厂商	500357
changshang	场上	111245
changshashi	长沙市	179770
changshi	尝试	500255
changshi	常识	167720
changshijian	长时间	198115
changsuo	场所	500297
changtong	畅通	127975
changtu	长途	104885
changweihui	常委会	145990
changwu	常务	183125
changwuweiyuanhui	常务委员会	206215
changxiao	畅销	120650
changyong	常用	500275
changyou	常有	119885
changyuan	长远	163120
changzheng	长征	108360
chanliang	产量	475455
channeng	产能	128645
chanpin	产品	719918
chanpinbianhao	产品编号	134740
chanpinguige	产品规格	155210
chanpinjiage	产品价格	144020
chanpinjieshao	产品介绍	124545
chanpinxiaoshou	产品销售	104535
chanpinxinxi	产品信息	184835
chanpinzhiliang	产品质量	359430
chanquan	产权	372025
chansheng	产生	501275
chanshengle	产生了	376685
chanshu	阐述	162975
chanwu	产物	178155
chanye	产业	581292
chanyefazhan	产业发展	185040
chanyehua	产业化	263235
chanyejiegou	产业结构	105650
chanyelian	产业链	150370
chanzhi	产值	213000
chaobiao	超标	173842
chaochu	超出	218645
chaoge	炒个	159850
chaogecai	炒个菜	108990
chaoguo	超过	500954
chaoguole	超过了	183675
chaoji	超级	500398
chaojibanzhu	超级版主	492790
chaojigecai	炒几个菜	198980
chaoliu	潮流	252785
chaoshengbo	超声波	105095
chaoshi	超市	500266
chaoting	朝廷	122345
chaoxi	抄袭	192320
chaoxian	朝鲜	223585
chaoyang	朝阳	198365
chaoyangqu	朝阳区	255010
chaoyue	超越	343940
chaozhe	朝着	110130
chaozhi	超值	106935
chaozuo	炒作	189910
charu	插入	499080
chaxun	查询	500787
chaye	茶叶	358575
chayi	差异	500278
chayue	查阅	226715
chazhao	查找	422960
checi	车次	154495
chede	车的	338520
chedi	彻底	484805
chedui	车队	170170
chejian	车间	196335
cheliang	车辆	500528
chendian	沉淀	111660
chenei	车内	150290
chengban	承办	308695
chengbandanwei	承办单位	109925
chengbao	承包	643225
chengbao	城堡	130555
chengben	成本	500769
chengche	乘车	185870
chengdan	承担	500796
chengdanzeren	承担责任	495483
chengdu	程度	500495
chengdu	成都	500464
chengdushang	程度上	103665
chengdushi	成都市	233300
chengfa	惩罚	162210
chengfen	成分	446075
chenggong	成功	501106
chenggongde	成功的	500365
chenggongde	成功地	154430
chengguo	成果	500453
chenghao	称号	500263
chenghu	称呼	129215
chengji	成绩	500639
chengjiao	成交	370795
chengjiaoliang	成交量	109730
chengjie	承接	394408
chengjiu	成就	500253
chengke	乘客	202975
chengli	成立	500565
chengli	城里	121220
chenglile	成立了	257295
chengliyu	成立于	263115
chengnian	成年	119420
chengnuo	承诺	500419
chengpin	成品	204400
chengqianshangwan	成千上万	123130
chengqu	城区	351590
chengren	承认	489895
chengren	成人	392220
chengrenyongpin	成人用品	131055
chengshi	城市	501469
chengshi	诚实	124310
chengshide	城市的	421645
chengshiguihua	城市规划	202700
chengshihua	城市化	123755
chengshijianshe	城市建设	138645
chengshou	承受	260250
chengshu	成熟	500397
chengwei	成为	501999
chengwei	称为	500317
chengweile	成为了	249300
chengweiyige	成为一个	166855
chengxian	呈现	400465
chengxianchu	呈现出	168655
chengxiang	城乡	337225
chengxiao	成效	297040
chengxin	诚信	500372
chengxu	程序	501410
chengxuyuan	程序员	117350
chengyuan	成员	500571
chengyunren	承运人	106785
chengzan	称赞	100235
chengzhang	成长	500392
chengzhen	城镇	483480
chengzhiwei	称之为	199010
chengzuo	乘坐	180195
chenlie	陈列	109990
chenmo	沉默	222740
chenshu	陈述	164655
chenzhongde	沉重的	100980
cheshang	车上	172795
cheshen	车身	193395
chexiao	撤销	309820
chexing	车型	500290
chezai	车载	104210
chezhan	车站	231575
chezhu	车主	238760
chezi	车子	201920
chibang	翅膀	176265
chicun	尺寸	500450
chide	吃的	278850
chidu	尺度	103745
chifan	吃饭	422140
chigu	持股	123070
chijing	吃惊	120045
chijiu	持久	174260
chile	吃了	299400
chixu	持续	500442
chiyou	持有	497505
chongbai	崇拜	138745
chongdang	充当	103260
chongdian	充电	170375
chongdianqi	充电器	113620
chongdong	冲动	231055
chongfen	充分	500371
chongfende	充分的	220405
chongfenfahui	充分发挥	494655
chongfenliyong	充分利用	267465
chongfu	重复	500291
chongji	冲击	353965
chongjian	重建	174035
chongman	充满	500305
chongmanle	充满了	277980
chongqi	重启	133085
chongqing	重庆	500448
chongqingshi	重庆市	312190
chongshi	充实	212535
chongtu	冲突	388180
chongwu	宠物	500329
chongxi	冲洗	112820
chongxin	重新	500492
chongxinqidong	重新启动	108400
chongzhi	充值	111790
chongzu	充足	133895
chongzude	充足的	114180
choubei	筹备	133275
choucha	抽查	125700
chouchu	抽出	102270
chouxiang	抽象	122345
chouyan	抽烟	107725
chuanbo	传播	500437
chuanbo	船舶	351115
chuancheng	传承	124825
chuanchu	传出	129615
chuandi	传递	366745
chuanganqi	传感器	307125
chuangban	创办	293485
chuanghu	窗户	149215
chuangjian	创建	500522
chuangkou	窗口	500419
chuangli	创立	148445
chuanglian	窗帘	124385
chuangshang	床上	244030
chuangshiren	创始人	118585
chuanguo	穿过	201830
chuangwai	窗外	157430
chuangxin	创新	500864
chuangxinnengli	创新能力	129220
chuangye	创业	500462
chuangyezhe	创业者	133015
chuangyi	创意	500254
chuangzao	创造	500567
chuangzaochu	创造出	115290
chuangzaole	创造了	295395
chuangzaoli	创造力	126905
chuangzaoxing	创造性	164985
chuangzuo	创作	500355
chuanlai	传来	271645
chuanmei	传媒	293340
chuanqi	传奇	283920
chuanranbing	传染病	212375
chuanshang	穿上	128755
chuanshou	传授	124540
chuanshu	传输	413290
chuanshuo	传说	352990
chuansong	传送	213620
chuantong	传统	500943
chuantongwenhua	传统文化	130270
chuanyuan	船员	130499
chuanyue	穿越	156260
chuanzhe	穿着	350115
chuanzhen	传真	501093
chuanzhuo	穿着	350115
chuban	出版	500487
chubanriqi	出版日期	198855
chubanshe	出版社	500608
chubanwu	出版物	113205
chubei	储备	193520
chuchai	出差	141495
chuchang	出场	117695
chuchang	出厂	111885
chuchu	出处	373140
chuchu	处处	193185
chuci	初次	122425
chucizhiwai	除此之外	138535
chucun	储存	333340
chucuo	出错	135235
chuer	初二	107975
chufa	出发	500276
chufa	处罚	500269
chufade	处罚的	123440
chufang	厨房	368985
chufei	除非	249375
chufen	处分	363150
chuguo	出国	221515
chuizhi	垂直	218820
chuji	初级	343840
chujihuiyuan	初级会员	117485
chujing	出境	130720
chuju	出具	432985
chukou	出口	500560
chulai	出来	500900
chulaile	出来了	116165
chuli	处理	501532
